lat,lon,cluster
50.9052005,6.9639347,0
50.9403976,7.00649,3
50.9623582,6.9273777,1
50.9563517,6.9225004,1
50.9550285,6.9251393,1
50.9558695,6.9228048,1
50.9560651,6.9222494,1
50.9553466,6.922293,1
50.9544702,6.9207681,1
50.9518538,6.9246184,1
50.9515985,6.9252478,1
50.9535555,6.9204156,1
50.9604075,6.9025152,1
50.9546503,6.8800274,1
50.9557615,6.8808806,1
50.9570878,6.9196544,1
50.9569525,6.9207646,1
50.9601816,6.9022102,1
50.9671954,6.9028008,1
50.9604608,6.9013472,1
50.9756814,6.9467234,0
50.9642552,6.9480551,0
50.9649907,6.9476391,0
50.9632796,6.8943621,1
50.958158,6.9187638,1
50.9963791,6.9146874,4
50.9755222,6.9502807,0
50.9999618,6.8854271,4
51.001179,6.8774505,4
50.9968837,6.914581,4
50.9552745,6.9321013,1
50.9554277,6.9325871,0
50.9522133,6.9206586,1
50.9544498,6.9187639,1
50.9542172,6.9187246,1
50.9547349,6.9172551,1
50.9665163,6.897945,1
50.9601402,6.8953967,1
50.9593734,6.8971097,1
50.9570594,6.9115847,1
50.9566763,6.9125427,1
50.9569279,6.9117361,1
50.9564628,6.9129698,1
50.9560691,6.9139599,1
50.9564907,6.9270626,1
50.9621323,6.9046296,1
50.9653955,6.8961472,1
50.9646114,6.8297994,4
50.9697575,6.8447716,4
50.979514,6.8670576,4
51.002207,6.8516326,4
51.0020672,6.8521633,4
50.9349698,6.974271,0
50.9386312,6.9736398,0
50.9495245,6.9262583,1
50.9646588,6.9130089,1
50.9545703,6.9251644,1
50.9542104,6.9244131,1
50.968798,6.9393495,0
50.9718566,6.9351738,0
50.9738058,6.9270105,1
50.9744531,6.9394086,0
50.9979769,6.9069727,4
50.9982226,6.9102249,4
50.9965749,6.9146604,4
50.9660259,6.9494246,0
50.9636834,6.9497498,0
50.9752086,6.9467307,0
50.9478037,6.9226599,1
50.9955061,6.925302,4
51.0146729,6.8973457,4
50.9607779,6.9499798,0
50.9608398,6.9496582,0
51.0243014,6.9601123,4
51.0246909,6.9592967,4
51.0254662,6.9584898,4
51.0261195,6.9582275,4
51.0262732,6.9578674,4
50.9254501,6.9561869,0
50.9318811,6.9516289,0
50.9395399,6.9753385,0
50.9461828,6.8977278,1
50.9463508,6.8956686,1
50.9463176,6.8959787,1
50.9454361,6.888701,1
50.9469573,6.8859112,1
50.9800706,6.8681521,4
50.9421137,6.9589528,0
